Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
burger_ordering_533578a1	n	Rose looks at you for a brief moment and continues.	game/script/burger.rpy	172	n "[what]"
burger_ordering_b4b2a8f7	n	 The old lady looks at you for a brief moment and continues.	game/script/burger.rpy	174	n "[what]"
burger_ordering_a14aefbd	r	Who did you bring along for the ride?	game/script/burger.rpy	176	r "[what]"
burger_ordering_0ee1a4ee	l	Oh right, you two haven't met. Rose, this is [name] and [name] this is Rose.	game/script/burger.rpy	177	l "[what]"
burger_ordering_511a2eca	n	Rose gives you a sincere smile.	game/script/burger.rpy	179	n "[what]"
burger_ordering_57c2ec70	r	Nice to meet you [name].	game/script/burger.rpy	180	r "[what]"
burger_ordering_97a8c46f	r	So, what can I get the two of you?	game/script/burger.rpy	181	r "[what]"
burger_ordering_dd9f55d9	n	You tell her what you ordered and follow Lilith back to the table.	game/script/burger.rpy	182	n "[what]"
burger_ordering_ba53e230	l	Thank you for choosing this place [name]. It has been too long since I've been here, to tell you the truth I actually was avoiding this place. But now the happy memories come flooding back to me.	game/script/burger.rpy	186	l "[what]"
burger_ordering_6bcbb7f0	n	Lilith pauses for a moment, she seems unsure whether to continue or not.	game/script/burger.rpy	190	n "[what]"
burger_ordering_027b3336	l	You know, my brother really used to love this place before...	game/script/burger.rpy	192	l "[what]"
burger_ordering_d69f6abb	n	Lilith freezes before she can continue the sentence.	game/script/burger.rpy	195	n "[what]"
burger_brother_question_db1d8564	n	Lilith tries to compose herself as well as she can but from the look in her eyes you can tell this is all a bit much for her.	game/script/burger.rpy	204	n "[what]"
burger_joke_Abigail_9c564825	n	Lilith bursts out in laughter.	game/script/burger.rpy	245	n "[what]"
burger_joke_Abigail_ed7592ba	l	I really love that joke, my sister Abigail told me it once and I kept laughing and laughing for hat seemed like an eternity. Just thinking about it again, it fills me with a warm feeling, like a blanket you wrap around yourself in the coldest of winters.	game/script/burger.rpy	246	l "[what]"
burger_joke_Abigail_d972aaac	l	Thank you for cracking me up [name]!	game/script/burger.rpy	248	l "[what]"
burger_joke_Abigail_5bddc2a9	n	Lilith flashes you a cute smile, she seems pretty much completely composed once again.	game/script/burger.rpy	249	n "[what]"
burger_joke_response_58c08ef5	n	A slight smile forms on Lilith's face. She doesn't seem to find your joke that funny but from the gratitude in her eyes you can tell she is thankful for your effort. She seems to have become slightly more composed.	game/script/burger.rpy	255	n "[what]"
burger_joke_response_cf6b14a0	l	Thank you.	game/script/burger.rpy	259	l "[what]"
burger_joke_response_5b4a187e	n	Lilith continues as if nothing happened.	game/script/burger.rpy	260	n "[what]"
burger_living_1968b63c	l	So, what do you do for a living?	game/script/burger.rpy	264	l "[what]"
burger_living_writer_8c605991	l	That's pretty cool, you probably still have a whole journey to make to get from aspiring writer to a professional one.	game/script/burger.rpy	277	l "[what]"
burger_living_writer_f4129a27	l	I also like to write something here and there in my free time, I'm not really wanting to become a writer, it's just something to put my emotions into. 	game/script/burger.rpy	278	l "[what]"
burger_living_writer_2bdb337c	l	I'd assume that's also a reason why you write, otherwise you probably wouldn't be dreaming of becoming a writer, right?	game/script/burger.rpy	279	l "[what]"
burger_living_writer_fe1e386f	l	Well, try to never forget why you started writing in the first place, alright? And then maybe you'll find an opportunity, maybe you won't, but in the end you'll always have your passion for writing.	game/script/burger.rpy	280	l "[what]"
burger_living_unemployed_09593824	l	Oh, do you like to write? That's pretty cool!	game/script/burger.rpy	291	l "[what]"
burger_living_unemployed_f958c951	l	Lilith seems to be quite enthusiastic, her eyes have a certain shimmer to them that wasn't there just a moment ago.	game/script/burger.rpy	292	l "[what]"
burger_living_unemployed_37b34bf7	l	I also like to write something from time to time, it's one of my hobby's actually.	game/script/burger.rpy	293	l "[what]"
burger_living_showWriting_c1687486	n	A wide smile grows on Lilith's face.	game/script/burger.rpy	301	n "[what]"
burger_living_showWriting_e282441b	l	You want to read something of me?	game/script/burger.rpy	302	l "[what]"
burger_living_showWriting_070d63ae	l	I'd love that!	game/script/burger.rpy	303	l "[what]"
burger_living_showWriting_1be27a75	l	She eagerly digs in her handbag, retrieving a small notebook with a picture of a pug on it.	game/script/burger.rpy	304	l "[what]"
burger_living_showWriting_f2def844	l	I think you'll like this one!	game/script/burger.rpy	305	l "[what]"
burger_living_showWriting_818466dc	n	She pushes the notebook, now flipped open, towards you. Suddenly you are reminded of the burger sauce that is all over your fingers.	game/script/burger.rpy	306	n "[what]"
burger_living_showWriting_poem_1d78f7f3	n	Lilith seems thankful that you cleaned your fingers. You take the notebook out of her hand and begin to read. You can read the entire thing in her voice somehow.	game/script/burger.rpy	318	n "[what]"
burger_living_showWriting_poem_101121b1	n	Lilith frowns when she sees your dirty fingers. Nontheless you take the notebook out of her hand and begin to read. You can read the entire thing in her voice somehow.	game/script/burger.rpy	323	n "[what]"
burger_living_showWriting_poem_148315e3	l	Oh Moon here we are again, or rather, here I am again.	game/script/burger.rpy	327	l "[what]"
burger_living_showWriting_poem_d590ea7c	l	Staring at my, our green horizon that never seems to cross with your silver. And yet every now and then it looks like you're waiting for me there, due to a trick of the light.	game/script/burger.rpy	329	l "[what]"
burger_living_showWriting_poem_593d3f42	l	Then I hear Orpheus' sweet sounds rise once more from the gap between Life and Death. But Orpheus' tune is quickly twisted into something else.	game/script/burger.rpy	331	l "[what]"
burger_living_showWriting_poem_284300bf	l	And then I'll be here and you’ll be there once again. I don't know whether to cry or laugh when I look at my, our, green horizon.	game/script/burger.rpy	333	l "[what]"
burger_living_showWriting_poem_4612b3c7	l	All I know is that we better not listen to the dwindling of Orpheus' tune. Has something that has not been seen or heard really happened?	game/script/burger.rpy	335	l "[what]"
burger_living_showWriting_poem_c5a63ea0	n	When you get done reading your eyes linger on the notebook a bit longer before returning it to Lilith.	game/script/burger.rpy	338	n "[what]"
burger_living_showWriting_poem_03b0c38c	l	So [name], what did you think of it?	game/script/burger.rpy	339	l "[what]"
burger_living_showWriting_poem_9a58c32b	n	She seems eager to find out what your thoughts are on her writing.	game/script/burger.rpy	340	n "[what]"
burger_living_showWriting_poem_af0d07b9	n	When you get done reading your eyes linger on the now dirtied notebook a bit longer before returning it to Lilith.	game/script/burger.rpy	343	n "[what]"
burger_living_showWriting_poem_6c8f56e5	l	So, what did you think of it?	game/script/burger.rpy	344	l "[what]"
burger_living_showWriting_poem_e986f7ae	n	She seems irritated by your actions but is asking out of politeness.	game/script/burger.rpy	345	n "[what]"
burger_poem_rating_terrible_4518e4e6	n	Lilith begins to frown slightly. She looks hurt by your words.	game/script/burger.rpy	359	n "[what]"
burger_poem_rating_terrible_754802d7	l	Oh... No need to be a douche about it.	game/script/burger.rpy	361	l "[what]"
burger_poem_rating_fantastic_8111df5e	l	A wide smile appears on Lilith's face.	game/script/burger.rpy	369	l "[what]"
burger_poem_rating_fantastic_4fc18d56	l	Thanks! I'm glad you like it so much.	game/script/burger.rpy	370	l "[what]"
burger_living_writer_thankTip_60feb7fe	n	Lilith gives you a big smile.	game/script/burger.rpy	381	n "[what]"
burger_living_writer_thankTip_60949cc5	l	You're more than welcome! This tip applies to all sort of things, not only writing.	game/script/burger.rpy	382	l "[what]"
burger_living_writer_thankTip_d3287793	l	I would have loved to have been given the same advice when I needed to hear it the most.	game/script/burger.rpy	386	l "[what]"
burger_living_writer_thankTip_496dac0f	l	You see, I actually used to play the trombone. I loved playing music on that thing, you could say it was my passion.	game/script/burger.rpy	387	l "[what]"
burger_living_writer_thankTip_46a2483f	l	But after nine years of music lessons I caught myself just playing music for the sake of getting it done.	game/script/burger.rpy	390	l "[what]"
burger_living_writer_thankTip_c15de0bd	l	I quit that year. Now I barely play the trombone anymore.	game/script/burger.rpy	391	l "[what]"
burger_living_writer_thankTip_sorryHobbyLost_2bc85cf6	n	Lilith laughs.	game/script/burger.rpy	399	n "[what]"
burger_living_writer_thankTip_sorryHobbyLost_4a7f887e	l	No worries, I really like music and I will always treasure my memories with the trombone.	game/script/burger.rpy	400	l "[what]"
burger_living_writer_thankTip_sorryHobbyLost_11c6f45c	l	But if I kept playing it I think I would slowly grow to resent it, sometimes it's just better to end things on a good note.	game/script/burger.rpy	403	l "[what]"
burger_living_writer_thankTip_sorryHobbyLost_4286a6f7	n	Lilith lets out a small giggle.	game/script/burger.rpy	404	n "[what]"
burger_living_writer_thankTip_sorryHobbyLost_97c1173c	l	That pun wasn't intended, I swear!	game/script/burger.rpy	405	l "[what]"
burger_Brotherasked_02d14951	n	Lilith pauses for a moment.	game/script/burger.rpy	412	n "[what]"
burger_Brotherasked_a28b01c7	l	You asked what my brother's name was, right? I don't know why but I feel like I can trust you enough to tell you about him. I might tear up, it's been a long time since I've told his story to anyone.	game/script/burger.rpy	413	l "[what]"
burger_Brotherasked_8ebea2a4	l	His... his name was James.	game/script/burger.rpy	416	l "[what]"
burger_Brotherasked_a5c7a46d	l	He was the best brother I could have asked for. He was five years older than me but we always played together. We used to be the best of friends, playing hide and seek, video games, making our own stories to act out, you name it.	game/script/burger.rpy	417	l "[what]"
burger_Brotherasked_719cd286	l	He was always there for me, he supported me however he could and appreciated me.	game/script/burger.rpy	420	l "[what]"
burger_Brotherasked_9d0b5073	n	When she talks about her brother you can see one of the biggest smiles you've ever seen growing on her face.	game/script/burger.rpy	421	n "[what]"
burger_Brotherasked_2d075270	l	But that's when it happened...	game/script/burger.rpy	423	l "[what]"
burger_Brotherasked_1872e58a	n	Lilith pauses for a moment as she gasps for air, you can see tears dripping off her face.	game/script/burger.rpy	424	n "[what]"
burger_Brotherasked_58b9dc1b	l	He was only seventeen when he got hit by a speeding car. He didn't die immediately, they say he must have layed there for an hour before...	game/script/burger.rpy	425	l "[what]"
burger_Brotherasked_8769f117	l	My... father...	game/script/burger.rpy	427	l "[what]"
burger_Brotherasked_dde8178b	n	She seems to test the taste of those words, looking at her expression, they seem to taste quite bitter.	game/script/burger.rpy	428	n "[what]"
burger_Brotherasked_77aa1f3f	l	David couldn't accept James dying and left us. That day two people were taken away from me by a car. Actually, scratch that, David had a choice in the matter, James was the only one really taken away from me.	game/script/burger.rpy	429	l "[what]"
burger_Brotherasked_221e763e	l	Mom really tried her best to fill the void left by them but the presence of their absence has always haunted us since that horrible day.	game/script/burger.rpy	432	l "[what]"
burger_Brotherasked_b43515e3	l	My sister, Abigail,the one from the joke you just told, is 5 years younger than me so she doesn't really remember much of what happened.	game/script/burger.rpy	434	l "[what]"
burger_Brotherasked_7731d560	l	My sister, Abigail, is 5 years younger than me so she doesn't really remember much of what happened.	game/script/burger.rpy	437	l "[what]"
burger_Brotherasked_d7492048	n	She lets out a sigh of relief.	game/script/burger.rpy	439	n "[what]"
burger_Brotherasked_8670b439	l	As much as it hurts me to talk about James it feels good to finally let it all out once again. Thank you for listening to me ramble on [name].	game/script/burger.rpy	440	l "[what]"
burger_deathBuildup_ec14fb06	n	Suddenly you hear screaming from a few shops further.	game/script/burger.rpy	445	n "[what]"
burger_deathBuildup_748d5c12	l	What was that?	game/script/burger.rpy	446	l "[what]"
burger_deathBuildup_choice1_5d8edeb3	l	You're probably right, it's probably not even a big deal anywa-	game/script/burger.rpy	461	l "[what]"
burger_deathBuildup_choice2_de37fab8	l	Let's hope it's just that.	game/script/burger.rpy	465	l "[what]"
cafe_start_e356fdf6	l	Oh my, you surely know how to get me excited! I'll meet you there!	game/script/cafe.rpy	5	l "[what]"
cafe_start_c904c446	l	That sounds good to me! I'll meet you there!	game/script/cafe.rpy	7	l "[what]"
cafe_start_63fb39f9	n	You arrive a tad too early and find no space to park so you decide to park a few streets later and walk to the cafe.	game/script/cafe.rpy	9	n "[what]"
cafe_start_d6df7604	n	The inner walls are made out of glass and function as aquariums that seem to stretch on even beyond the ceiling.	game/script/cafe.rpy	10	n "[what]"
cafe_start_ddab9abc	n	It's probably them though, atleast they seem to be enjoying themselves.	game/script/cafe.rpy	11	n "[what]"
cafe_start_7dda1069	n	When you get there Lilith is already sitting at a nice looking mahogany table.	game/script/cafe.rpy	12	n "[what]"
cafe_start_19996bab	n	When she notices you she waves at you enthusiastically with a wide grin on her face.	game/script/cafe.rpy	13	n "[what]"
cafe_start_53d4b0fd	l	Heya, glad you could make it! 	game/script/cafe.rpy	14	l "[what]"
cafe_start_b3653636	l	This place has a really nice atmosphere, those mahogany tables and the aquariums are real eye catchers don't you think?	game/script/cafe.rpy	15	l "[what]"
cafe_start_9566ded3	l	Anyway, let's go order our food and then we can talk some more.	game/script/cafe.rpy	16	l "[what]"
cafe_start_768d8197	n	You and Lilith walk towards the barista, as he glances up from his phone he greets you with a shy smile. He looks quite young, if you'd have to guess you would say he is somewhere between 17 and 18 years old. You get lost in the thoughts of how life was when you still were 17 until Lilith gives you a playful nudge.	game/script/cafe.rpy	17	n "[what]"
cafe_start_fde0d57d	b	What could I get the both of you?	game/script/cafe.rpy	20	b "[what]"
cafe_start_8ecec9f8	l	 Hmm, I think I'm going for the ham and cheese sandwich and a cafe cubano. What are you choosing [name]? 	game/script/cafe.rpy	21	l "[what]"
cafe_food_choiceSame_dbb6f29c	l	You know what they say [name], great minds think alike. I guess that also counts for hungry stomachs.	game/script/cafe.rpy	40	l "[what]"
cafe_food_choiceSame_09026536	n	Lilith lets out a small chuckle.	game/script/cafe.rpy	41	n "[what]"
cafe_food_result_e672765d	n	The barista smiles and says: "Coming right up!"	game/script/cafe.rpy	43	n "[what]"
cafe_food_result_bd8ceacd	n	Lilith and you walk back to your table and take a seat.	game/script/cafe.rpy	44	n "[what]"
cafe_food_result_3127f0b4	n	Lilith gives you a mischievous smile.	game/script/cafe.rpy	46	n "[what]"
cafe_food_result_c1273eae	l	I just got a fun idea.	game/script/cafe.rpy	47	l "[what]"
cafe_food_result_335cec71	n	She eagerly digs into her handbag and takes out two red six-sided dice.	game/script/cafe.rpy	48	n "[what]"
cafe_food_result_6ec72a14	l	It's a little game I came up with a while ago, I want to test it with you.	game/script/cafe.rpy	49	l "[what]"
cafe_food_result_9347ddcb	l	So, the rules are simple. 	game/script/cafe.rpy	50	l "[what]"
cafe_food_result_01a6a1cc	l	Actually they might be a little complex...	game/script/cafe.rpy	52	l "[what]"
cafe_food_result_405db8d7	l	I will first roll two dice and tell you the sum of them. If I roll a double so for example if I roll two four's an extra four is added. So every double I roll is effectively a tripple.	game/script/cafe.rpy	54	l "[what]"
cafe_food_result_134e1f99	l	After that I can take one action each turn.	game/script/cafe.rpy	55	l "[what]"
cafe_food_result_bb95c5bb	l	I can change one of the dice numbers into any number that isn't the number it was the last turn, so a three could become any number except for a three.	game/script/cafe.rpy	56	l "[what]"
cafe_food_result_7a75b8b1	l	But I also can subtract a value from one dice and add it to another, so a five and a one could become two three's.	game/script/cafe.rpy	57	l "[what]"
cafe_food_result_6d7a2620	l	After every action I take I'll tell you the new sum of the dice.	game/script/cafe.rpy	58	l "[what]"
cafe_food_result_ed49e70b	l	So, do you still want to do this?	game/script/cafe.rpy	59	l "[what]"
cafe_dice_continue_70a8185e	n	Lilith throws two six-sided dice and puts her hands in front of them so you can't see the result.	game/script/cafe.rpy	68	n "[what]"
cafe_dice_continue_9768528a	l	The sum of the dice is nine.	game/script/cafe.rpy	69	l "[what]"
cafe_dice_continue_656e191d	n	You remember that the first dice is 6 and the second dice is 3.	game/script/cafe.rpy	71	n "[what]"
cafe_dice_result_1762752c	n	You peek at the dice using the aquarium as a mirror, the first dice appears to be a 6 and the second is a 3.	game/script/cafe.rpy	83	n "[what]"
cafe_dice_result_5f69bfbe	n	Lilith waits for you to look away and she then takes an action.	game/script/cafe.rpy	85	n "[what]"
cafe_dice_result_9768528a	l	The sum of the dice is nine.	game/script/cafe.rpy	86	l "[what]"
cafe_dice_result_9a57cb9e	n	She takes her next action.	game/script/cafe.rpy	87	n "[what]"
cafe_dice_result_30a3302f	l	The sum of the dice is eight.	game/script/cafe.rpy	88	l "[what]"
cafe_dice_result_14bf9bd2	n	Lilith hums an unfamiliar song as she takes her next action, it's quite catchy.	game/script/cafe.rpy	89	n "[what]"
cafe_dice_result_5deec61a	l	The sum of the dice is five.	game/script/cafe.rpy	91	l "[what]"
cafe_dice_result_da939975	l	So, that was the puzzle. You'll need one hint to solve it.	game/script/cafe.rpy	92	l "[what]"
cafe_dice_result_0b434267	l	The last action I took was changing the second dice. I hope that hint is helpful!	game/script/cafe.rpy	93	l "[what]"
cafe_dice_result_77ffb9b2	l	So, what was the number of the first dice on the first turn?	game/script/cafe.rpy	95	l "[what]"
cafe_dice_result_059ac6f0	l	So do you think the number of the second dice is [dicenumber2]?	game/script/cafe.rpy	125	l "[what]"
cafe_dice_right_ffe17106	l	Wow, you managed to figure it out. Nicely done [name]!	game/script/cafe.rpy	130	l "[what]"
cafe_dice_wrong_6bfe407e	l	Nope, that's not the answer.	game/script/cafe.rpy	135	l "[what]"
cafe_dice_wrong_71d37f26	l	You gave it your best shot [name]! I might have made this a bit too hard. Would you like to know the answer?	game/script/cafe.rpy	136	l "[what]"
cafe_dice_wrong_0e03f818	l	The first dice was 6 and the second dice was 3.	game/script/cafe.rpy	143	l "[what]"
cafe_dice_wrong_e87eab3e	l	That's respectable but I'm not sure when you'll get your next chance, this is not something I do all of the time.	game/script/cafe.rpy	147	l "[what]"
cafe_dice_wrong_6736c8f1	l	Oh,so what number do you think the second dice is [name]?	game/script/cafe.rpy	153	l "[what]"
cafe_dice_stop_bcd8ad72	l	Oh no worries [name]! I might have made this a bit too daunting so I completely understand.	game/script/cafe.rpy	189	l "[what]"
cafe_rateCafe_ae6e753c	n	Lilith looks around in pure awe, a bright smile forms on her face.	game/script/cafe.rpy	199	n "[what]"
cafe_rateCafe_3bd5ccc9	l	So, what do you think of this place now that you've seen it for the first time?	game/script/cafe.rpy	200	l "[what]"
cafe_notTheFirstTimeISaw_aab060f2	l	Oh... I thought you said that you had only heard about this place.	game/script/cafe.rpy	216	l "[what]"
cafe_notTheFirstTimeISaw_7f8ec89d	n	Lilith pauses, seemingly not knowing what to say.	game/script/cafe.rpy	217	n "[what]"
cafe_backOnTrack_e5034ede	n	Lilith lets out a polite chuckle.	game/script/cafe.rpy	223	n "[what]"
cafe_backOnTrack_7bff3396	l	Oh, my bad then!	game/script/cafe.rpy	224	l "[what]"
cafe_rateCafe_great_aa666216	n	Lilith let's out a small giggle.	game/script/cafe.rpy	230	n "[what]"
cafe_rateCafe_great_78d83130	l	 I knew you would love it as much as me when I saw your smile. I've never seen so many colors at the same time, thank you for taking me here [name]! Just the fish on their own made this one of the best dates I ever had, it can only get better from here.	game/script/cafe.rpy	231	l "[what]"
cafe_rateCafe_okayish_a5c8b08f	n	Lilith flashes you an understanding smile.	game/script/cafe.rpy	238	n "[what]"
cafe_rateCafe_okayish_ca5d4ca2	l	Ah, sorry to hear that, but I am really loving this place if that's worth something. Maybe we can go to a place you like next time? I've never seen so many colors at the same time, thank you for taking me here [name]. So far this is one of the best dates I ever had!	game/script/cafe.rpy	239	l "[what]"
cafe_rateCafe_bad_3d14a78b	n	Lilith frowns at your reaction.	game/script/cafe.rpy	248	n "[what]"
cafe_rateCafe_bad_82822a0c	l	...	game/script/cafe.rpy	249	l "[what]"
cafe_rateCafe_bad_c3f86bd1	l	There's no need to drag this place down just because you don't like it.	game/script/cafe.rpy	250	l "[what]"
cafe_rateCafe_bad_ce4a7a59	l	Lilith takes her phone and begins aimlessly scrolling on it, you can see her screen through the reflection on the aquarium. She's growing less and less responsive after every word you say until the two of you sit in pure silence for what feels like an hour.	game/script/cafe.rpy	251	l "[what]"
cafe_rateCafe_bad_9319ca69	n	Atleast you also managed to catch her password thanks to the reflection, it's 81155.	game/script/cafe.rpy	254	n "[what]"
cafe_rateCafe_result_2e4431b5	l	That's quite an unusual question to ask [name], why do you think I did?	game/script/cafe.rpy	264	l "[what]"
cafe_rateCafe_result_fe69a522	l	Did you just counter my thank you with another thank you?	game/script/cafe.rpy	275	l "[what]"
cafe_rateCafe_result_121af3bb	l	Well, in that case I'll retaliate with a "You are very welcome." aswell!	game/script/cafe.rpy	276	l "[what]"
cafe_rateCafe_result_7ed68da7	l	Lilith let's out a cute giggle. She has a gleeful look in her eyes.	game/script/cafe.rpy	277	l "[what]"
cafe_rateCafe_result_343a5827	l	You know, you made laugh quite good there [name], now it's my turn! Would you like to hear a joke?	game/script/cafe.rpy	278	l "[what]"
cafe_abigailJoke_56d3482d	l	So a priest, a monk and a rabbit enter a bar. Says the rabbit :"Whoops, did you slip your tongue there Lilith?"	game/script/cafe.rpy	284	l "[what]"
cafe_joke_bad_139400d8	n	Lilith looks saddened by your remark.	game/script/cafe.rpy	296	n "[what]"
cafe_joke_bad_56102ebc	l	Really? ...	game/script/cafe.rpy	298	l "[what]"
cafe_joke_bad_a72d57e5	l	I thought it was funny when Abigail told me...	game/script/cafe.rpy	299	l "[what]"
cafe_joke_good_94379999	n	Lilith explodes in laughter.	game/script/cafe.rpy	308	n "[what]"
cafe_joke_good_94c76e07	l	Exactly! The first time Abigail, my sister, told me that joke I spent an entire hour laughing. But then again, she always makes me laugh so much that I just might pass out one time.	game/script/cafe.rpy	309	l "[what]"
cafe_joke_good_a4eacb96	l	I'm kidding, I'm kidding! About the passing out part that is, she really is funny though.	game/script/cafe.rpy	311	l "[what]"
cafe_joke_dontGet_f74b632c	l	Oh, the point of the joke is that the other two who entered the bar where religious fiures, the monk and the priest. So the rabbit doesn't quite fit in, it's because he was actually a rabbi instead. So I mispronounced that hence the "did you slip your tongue?" .	game/script/cafe.rpy	319	l "[what]"
cafe_joke_dontGet_7cd3a02c	l	Is the joke now funnier or did it now become less funny? It tends to be that way when you explain a joke so I'm sorry if I ruined it for you.	game/script/cafe.rpy	321	l "[what]"
cafe_badLove_b6c73a82	l	Well...	game/script/cafe.rpy	335	l "[what]"
cafe_badLove_dd421e13	l	I wouldn't say I had really bad experiences with love. It's just that I tend to grow connected with people before they even had the chance to grow fond of me. I also do not need to be with someone every single moment, both as a friend or lover, once I'm connected I start to sort of withdraw a little bit.	game/script/cafe.rpy	336	l "[what]"
cafe_badLove_176e7392	l	But it's strange, I feel as if you already know me pretty well even though this is our first date. Not that I'm complaining though, I really like it if I'm being honest with you.	game/script/cafe.rpy	340	l "[what]"
cafe_badLove_ef54985a	l	In the beginning I thought that I was weird for acting that way, I started trying to make sure that I didn't distance myself from anyone so I wouldn't hurt them. Of course this only made things worse, soon I began having almost no confidence in myself and messed up quite a few relationships and friendships.	game/script/cafe.rpy	341	l "[what]"
cafe_badLove_c4037143	l	It took me a while before I managed to find the courage in myself to try and fix my problems. It didn't happen instantly, even now I sometimes come of as too distant, but little by little I managed to tell myself that there is nothing wrong with not needing an overdose of affection every second.	game/script/cafe.rpy	343	l "[what]"
cafe_badLove_dcb8585d	l	So, did I have bad experiences in love? Maybe, but they were all quite necessary as without them I wouldn't be here with you today, I wouldn't even be myself if that makes sense. Sorry for blabbering on by the way, I'm quite talkative when you get me going.	game/script/cafe.rpy	345	l "[what]"
cafe_badLove_a5f19314	l	Oh you flatterer! 	game/script/cafe.rpy	350	l "[what]"
cafe_badLove_5292f98a	n	Lilith looks at you and gives you a big grin, you can clearly see she's blushing. Suddenly the grin begins to make place for a slight frown.	game/script/cafe.rpy	351	n "[what]"
cafe_badLove_f7367cd9	l	Is it normal for me to be that happy because someone told me they don't mind me speaking?	game/script/cafe.rpy	353	l "[what]"
cafe_badLove_82822a0c	l	...	game/script/cafe.rpy	354	l "[what]"
cafe_badLove_28da13d2	l	I... kind of struggle with self-confidence.	game/script/cafe.rpy	355	l "[what]"
cafe_badLove_d315780b	l	Sometimes I think other people find it a burden to talk to me or be around me at all.	game/script/cafe.rpy	356	l "[what]"
cafe_badLove_f42122c5	l	Thank you [name], it really helps to hear someone say that from time to time.	game/script/cafe.rpy	362	l "[what]"
cafe_badLove_fb586986	n	Lilith gives give a thankfull smile.	game/script/cafe.rpy	363	n "[what]"
chinese_start_95a578b3	l	That sounds like a plan!	game/script/chinese.rpy	3	l "[what]"
chinese_start_45599c34	l	I'll see you there.	game/script/chinese.rpy	4	l "[what]"
chinese_start_eebdac86	n	You head to the Chinese restaurant, when you arive there Lilith is already seated. She happily waves at you.	game/script/chinese.rpy	5	n "[what]"
chinese_start_3bc1387e	n	It's appears to be quite busy, there are people at every table.	game/script/chinese.rpy	6	n "[what]"
chinese_start_094cbbda	n	You walk towards the table where Lilith is sitting and greet her with a cheerful smile.	game/script/chinese.rpy	7	n "[what]"
